GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avlTree,avl,AvlNode,165,0,28,0,42,0,34,0,20,0
avlTree,avl,AvlTree,632,0,87,0,199,0,72,0,28,0
